%time,field.data
1610116667624743091,-8
1610116667664725370,-8
1610116667704878270,-8
1610116667744663924,-8
1610116667784682873,-8
1610116667824719587,-8
1610116667865026189,-8
1610116667904641973,-8
1610116667944674812,-8
1610116667984669531,-8
1610116668024712134,-8
1610116668064663991,-8
1610116668104754136,-8
1610116668144635204,-8
1610116668184635265,-8
1610116668224794058,-8
1610116668264977308,-8
1610116668304690543,-8
1610116668344665919,-8
1610116668384615298,-8
1610116668424789437,-8
1610116668464769661,-8
1610116668504720908,-8
1610116668544744583,-8
1610116668584777517,-8
1610116668624690779,-8
1610116668664688768,-8
1610116668704746031,-8
1610116668744635695,-8
1610116668784746022,-8
1610116668824687693,-8
1610116668864792738,-8
1610116668904691103,-8
1610116668944800030,-8
1610116668984651724,-8
1610116669024792526,-8
1610116669064815798,-8
1610116669104715246,-8
1610116669144706665,-8
1610116669185074429,-8
1610116669224736143,-8
1610116669264821581,-8
1610116669304745649,-8
1610116669344793125,-8
1610116669384668044,-8
1610116669424728231,-8
1610116669464719506,-8
1610116669504656243,-8
1610116669544669590,-8
1610116669584648496,-8
1610116669624791483,-8
1610116669664740309,-8
